OrderNum,OrderType,CustomerType,CustName,CustState,ProdCategory,ProdNumber,ProdName,Quantity,Price,Discount,OrderTotal
1100934,Wholesale,Business,Gusikowski Group,North Carolina,Blueprints,BP102,Bsquare Robot Blueprint,10,$8.99 ,$1.80 ,$88.10 
1100935,Retail,Individual,Spencer Educators,Delaware,Drone Kits,DK204,BYOD-300,2,$89.00 ,0,$178.00 
1100936,Wholesale,Business,Schinner Inc.,Florida,Training Videos,TV801,Aerial Security,10,$36.99 ,$7.40 ,$362.50 
1100937,Retail,Individual,Saxon Laviss,Virginia,Robot Kits,RK602,BYOR-1000,1,$189.00 ,0,$189.00 
1100938,Retail,Business,Wilderman Technologies,Texas,eBooks,EB502,Building Your First Robot,4,$24.95 ,0,$99.80 
1100939,Wholesale,Business,Turcotte Corp,New York,Drones,DS302,DC-304 Drone,79,$395.00 ,$79.00 ,"$31,126.00 "
1100940,Retail,Individual,Kovacek Bernhard,Texas,Training Videos,TV803,Cloud Computing,1,$29.99 ,0,$29.99 
1100941,Retail,Individual,Antonina Noton,Missouri,Drones,DS306,DX-145 Drone,2,$250.00 ,0,$500.00 
1100942,Retail,Individual,Frederik Pantecost,Louisiana,eBooks,EB507,Drone Building Essentials,1,$13.99 ,0,$13.99 
1100943,Wholesale,Business,Hettinger and Sons,West Virginia,Blueprints,BP104,Cat Robot Blueprint,6,$4.99 ,$1.00 ,$28.94 
1100944,Retail,Individual,Phylis Barrabeale,Texas,Training Videos,TV812,Understanding Raspberry PI,1,$28.99 ,0,$28.99 
1100945,Wholesale,Business,Marvin Inc.,Kansas,Training Videos,TV802,AI for Educators,5,$49.95 ,$9.99 ,$239.76 
1100946,Wholesale,Business,Jacobi LLC,Arizona,eBooks,EB509,GPS Drones,7,$19.99 ,$4.00 ,$135.93 
1100947,Retail,Individual,Elton Sexon,Colorado,Training Videos,TV811,Understanding Drone Regulations,1,$27.50 ,0,$27.50 
1100948,Retail,Individual,Ewan Ladd,Ohio,Training Videos,TV810,Understanding Automation,1,$44.95 ,0,$44.95 
1100949,Retail,Individual,Justine Trengrouse,Florida,eBooks,EB507,Drone Building Essentials,1,$13.99 ,0,$13.99 
1100950,Retail,Individual,Cristian Iston,New York,Robot Kits,RK603,BYOR-1500,1,$189.00 ,0,$189.00 
1100951,Wholesale,Business,Treutel Group,New York,Drone Kits,DK209,BYOD-550,27,$179.00 ,$35.80 ,"$4,797.20 "
1100952,Wholesale,Business,Oberbrunner Inc.,Alabama,eBooks,EB521,Understanding Artificial Intelligence,5,$19.50 ,$3.90 ,$93.60 
1100953,Wholesale,Business,Clever Industries,Utah,Drone Kits,DK209,BYOD-550,5,$179.00 ,$35.80 ,$859.20 
1100954,Wholesale,Business,Nikolaus LLC,Virginia,Blueprints,BP106,Hexacopter Drone Blueprint,7,$8.99 ,$1.80 ,$61.13 
1100955,Wholesale,Business,Wyman Institute,Georgia,Blueprints,BP108,Panda Robot Blueprint,5,$7.99 ,$1.60 ,$38.35 
1100956,Retail,Individual,Iseabal Vevers,Maryland,Training Videos,TV811,Understanding Drone Regulations,1,$27.50 ,0,$27.50 
1100957,Retail,Individual,Morgan Kassman,South Carolina,Robots,RS707,RXW-9807 Robot,1,$599.00 ,0,$599.00 
1100958,Wholesale,Business,Bednar IT Inc.,North Carolina,Drone Kits,DK201,BYOD-100,9,$54.00 ,$10.80 ,$475.20 
1100959,Wholesale,Business,Johnson LLC,New Jersey,Training Videos,TV806,Mapping with Drones,12,$49.00 ,$9.80 ,$578.20 
1100960,Wholesale,Business,Frami LLC,Louisiana,Drone Kits,DK206,BYOD-400,92,$119.00 ,$23.80 ,"$10,924.20 "
1100961,Retail,Individual,Chrystel Tozer,Utah,Training Videos,TV810,Understanding Automation,1,$44.95 ,0,$44.95 
1100962,Wholesale,Business,Abshire Inc.,Oklahoma,Drone Kits,DK204,BYOD-300,6,$89.00 ,$17.80 ,$516.20 
1100963,Wholesale,Business,Stehr Group,North Carolina,Drones,DS301,DA-SA702 Drone,3,$399.00 ,$79.80 ,"$1,117.20 "
1100964,Retail,Individual,Godfry Dancy,Florida,eBooks,EB514,Polar Robots,1,$23.99 ,0,$23.99 
1100965,Retail,Individual,Gwendolyn Tromp,Indiana,Drone Kits,DK204,BYOD-300,3,$89.00 ,0,$267.00 
1100966,Retail,Individual,Klarrisa Dunlap,Texas,eBooks,EB513,Photograph Drones,1,$14.99 ,0,$14.99 
1100967,Retail,Individual,Karney Becks,Florida,Blueprints,BP101,All Eyes Drone Blueprint,1,$9.99 ,0,$9.99 
1100968,Retail,Individual,Richy Dews,Pennsylvania,Robot Kits,RK606,BYOR-3535,1,$225.00 ,0,$225.00 
1100969,Retail,Individual,Raimondo Goretti,Ohio,Drones,DS307,MICR-564K Drone,1,$499.00 ,0,$499.00 
1100970,Retail,Individual,Rebeca Overington,Virginia,Blueprints,BP106,Hexacopter Drone Blueprint,1,$8.99 ,0,$8.99 
1100971,Wholesale,Business,Hettinger and Sons,West Virginia,Drones,DS306,DX-145 Drone,12,$250.00 ,$50.00 ,"$2,950.00 "
1100972,Retail,Individual,Joya Mountstephen,Florida,Drone Kits,DK204,BYOD-300,1,$89.00 ,0,$89.00 
1100973,Retail,Individual,Modesta Brissenden,New York,eBooks,EB521,Understanding Artificial Intelligence,1,$19.50 ,0,$19.50 
